10000 30000
235 3164 269
7262 7676 252
4621 5928 840
1551 8231 952
558 5353 204
9540 5949 170
2665 7368 138
2307 7108 905
3021 9095 266
9439 2695 328
4029 3441 716
3927 6014 708
5274 7706 783
2815 4043 56
8183 5984 48
5061 9386 840
1382 5342 226
9060 558 678
7535 7254 792
1487 1325 858
2762 7768 434
6360 8299 329
1259 1803 504
2936 9368 132
7928 426 576
9701 2496 926
3079 1531 667
8220 5439 236
7615 5783 583
3248 2012 499
6649 142 450
781 1285 90
9509 9013 459
2239 5378 335
9890 1924 791
6205 2427 797
6146 6811 513
3184 9295 499
2779 2980 263
3404 2100 86
9545 9513 546
2964 354 689
5143 2300 771
236 8278 67
3420 9263 670
1607 35 877
6509 5593 923
9572 4083 494
2892 8737 88
8970 6303 125
735 145 220
476 5644 383
4289 8769 443
5670 8761 511
2523 5788 760
1989 8710 137
4850 8469 936
2638 3840 305
4805 3587 269
3106 3775 457
7125 7067 822
7308 1161 351
2764 1471 384
1537 1357 361
2955 2555 142
5544 7249 930
3786 8869 204
6461 7291 166
1189 8572 935
1632 1555 340
2635 836 660
3545 2166 820
8742 6739 958
7241 1030 560
5362 5812 595
9454 6730 545
5083 3505 999
2895 3783 548
1294 4568 542
6544 6453 487
6813 9771 790
5693 7831 165
6326 3799 722
7842 8844 393
4121 9745 242
7704 6602 573
1506 2961 647
7650 3464 84
8118 979 474
7582 9551 157
9768 9949 411
8377 7326 794
6905 5780 432
5394 1172 637
1511 5347 286
4446 9876 800
7648 8218 926
5170 1293 913
4090 5873 967
4979 3137 238
6106 4856 51
7396 9393 6
1761 1384 965
1169 9249 958
6207 9077 399
5121 5305 916
7868 3130 822
5180 8571 307
697 7872 923
9777 3800 239
2936 2242 977
5769 2866 384
7465 8564 64
3880 3476 712
9929 4469 681
9335 4989 212
9526 6749 759
7598 2602 982
3508 2393 559
2146 9335 391
8080 7802 655
7364 1376 267
4283 7076 838
7293 5187 878
4918 3966 952
98 7657 988
3717 1992 195
6483 4304 913
9718 1010 724
2785 1282 300
4297 2132 996
6630 1409 390
9462 3089 465
6435 2568 779
7150 1524 550
9775 4089 24
1301 663 699
446 8771 41
1559 5398 547
2443 6123 948
8277 7798 898
4594 5638 840
9263 2170 172
5940 9335 9
173 9628 578
4062 1598 609
6781 4229 103
741 134 934
4842 223 255
9843 7484 895
8370 3027 769
198 1904 81
4757 6001 848
5916 1539 342
7706 8353 877
5086 7884 159
8193 9124 256
4744 3173 324
5934 2791 473
4448 6257 238
2474 4924 66
2989 2029 983
6222 2263 646
7787 1104 669
7034 4726 112
2399 9252 549
3963 4015 927
270 6911 216
7738 6708 160
6154 117 754
2356 3716 557
751 6326 817
843 4519 860
5855 318 450
7156 1541 738
303 8867 182
9764 7883 906
82 843 713
4065 2830 62
3223 6141 523
6422 830 120
9687 3230 715
2390 4427 298
79 2051 609
9479 8181 773
6673 4538 725
8293 2272 246
8561 836 801
7255 9067 624
1001 4984 976
8284 5667 857
8601 6988 140
5176 941 855
8708 4928 668
2835 138 727
3872 8095 348
1066 9051 117
7170 3561 75
7800 6162 169
852 1205 667
3403 6393 571
5128 4656 228
9199 7375 982
7794 1160 964
9322 3213 533
9850 3568 134
7746 904 65
3043 56 892
4183 8114 955
5860 7520 704
8213 6347 520
8421 9994 206
7056 5573 180
9753 6339 515
2530 2777 216
3935 8526 643
9575 9562 992
8436 3465 746
7767 3670 807
1626 2674 106
5925 7236 768
81 1774 549
5125 9573 223
4259 3151 546
6027 8368 377
4172 2954 97
4818 2959 837
4785 3934 927
5328 5941 175
6504 8286 419
9696 8486 152
5793 4611 678
9154 9533 511
1770 7158 384
3740 2198 310
100 551 419
8595 2513 850
2573 9007 982
6390 3158 340
1450 1741 578
2030 7060 114
2810 2729 840
7664 6967 321
6290 5910 505
7783 2980 709
7495 812 690
9440 8224 369
2007 8280 920
8971 5334 308
1496 5292 431
1672 9305 940
9251 1581 28
7024 3648 710
8852 1838 505
1237 3740 933
6094 6225 270
1463 6213 592
7071 460 248
3702 7648 528
1525 571 987
8814 3871 347
7993 1284 850
2574 130 612
7202 5006 569
2224 2217 616
5690 8222 828
2087 6522 182
2213 7342 733
2700 2198 267
6056 1421 298
4789 8380 113
5232 7101 552
7764 4860 504
6598 5763 941
751 7258 627
261 8703 167
2389 6681 806
9351 7762 172
9539 4057 569
9037 1875 994
7468 598 47
4751 3218 947
6790 1896 885
694 3531 92
1701 6635 112
6251 529 427
7162 3323 200
8803 2336 668
7205 1001 951
2180 4125 532
3144 4078 902
7792 4660 31
6446 6763 0
2802 814 301
2988 3814 935
2526 3250 933
2035 519 122
1191 8723 530
8444 1693 527
1430 4696 364
2594 4855 574
295 7381 585
5594 6718 836
1159 4665 311
6855 5344 716
1770 2216 77
5297 4009 61
2967 6430 498
2834 6149 369
6897 6692 201
6286 318 550
8270 9703 710
8963 4401 473
7770 6638 504
8895 9481 659
4404 2489 722
9403 7462 908
1003 2383 58
3981 1310 320
4820 4329 656
157 127 635
790 268 538
2674 1895 654
7434 6830 695
674 5909 440
5040 1123 980
2659 5116 594
3817 5304 851
6733 9298 315
9117 154 68
9775 6421 839
7388 2769 352
7652 6740 228
4996 5778 845
6752 5388 962
1716 9465 316
22 8111 606
9023 3927 443
6169 2076 78
5550 9052 682
9461 2737 76
586 9293 800
7225 831 77
504 6433 516
2172 3534 497
361 1968 857
6464 4262 790
5326 708 861
4875 7939 550
4658 2089 953
7836 7597 272
3516 9405 286
8920 2278 472
3969 9238 50
3146 1577 594
7399 1777 866
4892 274 721
7816 4062 279
6530 7461 562
7504 1993 449
7159 9771 637
564 4214 593
3489 158 876
8204 2458 858
9010 5620 33
9977 5021 203
3865 4337 349
6006 3746 323
7849 6706 475
6101 2017 379
817 7182 475
8511 6246 576
9605 2191 367
5542 8824 130
3864 3885 250
1925 6306 683
1626 6470 910
9480 9002 682
4891 9706 456
8922 4556 112
3587 1472 239
3687 4846 560
526 611 484
7728 4082 259
1565 6617 45
5897 4629 142
3188 7816 854
7206 9626 280
1675 8241 248
2563 9846 259
2865 6644 332
8066 2659 197
7699 6452 705
6022 7595 64
2879 9442 48
4669 2535 422
2596 955 113
2778 9963 473
3224 5491 951
5417 7942 342
921 4706 102
2911 6680 741
8518 1094 467
3306 1847 785
4253 3401 814
9676 3839 317
6564 2654 842
9624 9082 463
8803 2487 564
6669 5748 697
1955 4870 592
9352 3216 589
9273 2193 867
7682 1311 46
365 2335 688
2141 5166 728
5470 4031 493
9445 9725 187
4232 6136 814
8488 3011 453
711 4192 111
1458 5303 816
3239 9028 877
8967 9291 21
6214 1474 870
8887 4029 251
1986 6553 996
3681 921 57
959 9200 202
3152 1677 465
6884 4051 986
7631 1009 293
4806 290 356
5025 7933 415
3091 1333 716
3519 2591 679
7225 5008 81
8264 6032 307
520 7071 909
5537 5225 39
3816 4331 165
9796 6245 895
1329 7508 47
5088 7049 859
1614 586 471
844 6076 936
6822 6075 533
8118 431 250
4191 1373 846
4430 2086 592
2516 2456 373
8794 4956 181
7017 9716 248
5880 5026 60
3573 7087 953
5035 5992 305
6540 4909 971
718 7821 401
750 3179 654
4983 8707 95
8364 2765 397
1980 2866 950
2285 5930 787
6277 8003 342
187 8184 447
3005 2932 726
8765 3404 686
3222 3777 941
1930 1705 601
922 5403 215
4802 1340 699
2590 4478 755
1355 3293 502
549 7599 230
1246 5791 774
4268 601 230
9462 2619 687
2920 1342 360
1446 3228 205
9836 5553 280
7555 7620 454
2859 5161 420
1790 291 396
7126 9664 992
7690 336 970
6169 9792 442
3480 1551 531
8490 3688 422
1214 6479 371
8385 9364 87
61 1216 329
3142 5558 540
2409 5149 955
9622 9430 314
2375 3565 825
6748 2245 225
6323 6517 485
1869 1589 213
2025 678 345
6308 587 195
3402 4976 891
9760 3277 613
636 1629 141
6448 571 235
4642 7808 101
1529 8842 342
2739 6648 427
8555 3396 708
2034 6508 44
8045 1149 539
6590 7043 724
201 8627 721
1488 2256 299
8172 8771 54
1167 3027 413
4257 3189 762
6363 3417 398
1166 9548 427
5312 4001 392
9702 3592 180
9406 6580 361
1278 6653 802
6605 4384 999
8556 5037 600
1300 9612 951
7965 6250 51
202 2865 541
328 4378 825
6871 6007 547
4230 6008 236
7591 2317 651
6229 4359 544
8667 5927 49
5367 4171 117
7553 8301 515
4310 2039 956
3507 3981 499
5809 229 626
5340 1869 382
5552 7127 962
5341 2641 378
5960 7236 560
9177 141 801
1579 8016 404
3906 6434 632
3819 3853 135
6515 9426 101
9741 5316 250
558 7008 798
3092 6928 60
2282 4981 276
2243 9556 948
8932 7553 335
8060 5437 131
8392 5953 828
6084 3078 206
8400 4635 758
6909 4895 113
7275 3380 471
7506 1388 165
4659 4077 41
5788 140 802
7596 2211 757
926 9529 285
359 2573 729
2796 5269 134
2455 4053 801
3463 4448 206
383 2481 501
9856 1889 569
1447 1617 655
477 859 422
7503 5140 228
7245 3953 741
7694 2320 253
1943 4138 415
6945 142 95
2706 1265 561
4882 9641 281
2701 3919 646
385 7301 594
2271 2261 806
6112 2117 674
5599 1692 508
5601 433 212
4346 355 906
6858 2025 864
8069 7903 703
9586 4635 567
9098 6307 925
4444 374 877
4465 2657 376
9199 7156 882
7682 3883 990
8898 9528 716
8838 1365 87
8481 8680 604
2972 2627 512
4849 4484 484
9331 8787 578
263 9101 846
1533 9015 739
2229 5657 499
7899 1117 396
5089 4397 83
7505 1697 953
1743 8232 790
2598 4503 430
7434 9810 921
8783 71 765
1916 8846 85
1052 1738 233
1722 404 161
2088 1428 460
8168 2750 25
4487 3029 411
7496 410 43
5012 5645 857
9085 8359 77
5043 8838 759
8543 1797 494
9570 405 681
9119 5332 388
8077 6793 189
6099 1577 479
3178 5791 409
40 7130 676
5218 8094 562
1164 3360 628
1243 3427 251
3658 9777 135
1519 8481 737
8166 966 769
6337 8350 217
4215 2560 591
6772 4197 888
9609 8032 630
4743 4047 922
5813 6777 873
1828 6113 520
8338 5442 338
1832 9495 864
9377 831 243
8950 1545 291
7431 352 178
77 1347 189
8436 2191 776
1404 8430 647
6428 7366 470
2465 8072 443
4503 4248 599
4032 1767 695
3374 6559 226
326 7764 229
4281 7835 174
6425 6219 242
1194 6177 996
7312 658 987
5919 4863 977
9155 9950 720
8476 7091 288
7983 6780 575
5570 9651 766
7017 1219 587
9298 3003 467
1523 8650 430
4631 4686 229
7863 6883 721
6403 0 442
4501 8656 124
6270 5998 824
8080 3042 43
4483 4162 110
3731 899 634
5519 3171 415
6824 9444 696
3882 3246 691
6797 4287 438
7929 7227 332
5472 4659 71
1580 4958 472
3562 805 669
7112 2348 790
9227 6957 363
8910 522 469
3444 4424 323
8541 1198 508
9584 5182 128
2208 3028 80
6310 3217 569
6938 6660 871
5059 3667 149
649 26 676
3986 2119 660
7627 2263 985
9511 5874 682
9180 4155 962
8240 3948 787
4480 4309 511
3713 4668 873
2510 733 968
8544 6313 757
5455 6276 261
895 4623 328
9760 7442 842
8901 8335 41
8437 1369 81
1255 1664 996
145 4650 314
6694 7314 347
6373 479 964
8423 6539 670
5507 2867 381
917 4747 69
7355 3917 642
5753 9921 976
4533 6665 712
2299 9263 30
5425 8113 491
3100 566 989
8563 6606 622
6054 2031 685
9123 2793 998
4543 1858 920
7768 6428 903
6378 6959 382
683 6799 425
4885 4902 260
9425 6398 116
4452 6926 391
1273 3600 804
6507 6407 839
2700 9626 348
4649 5062 299
8295 6295 987
6152 103 58
7717 2281 749
2922 6412 679
5732 6209 383
7314 8122 395
7849 5137 369
809 7273 436
300 1622 81
9039 9951 582
9250 7850 667
6193 573 885
3233 1724 268
9361 3118 753
7931 2244 503
3942 4079 327
4325 1219 818
5584 928 485
6691 4529 308
8937 8239 101
5337 8468 493
8378 5928 262
3180 7330 635
8524 3023 312
9223 5691 430
2629 7390 870
2321 9448 90
627 3658 982
1530 8581 696
8277 8348 668
3971 8543 772
3950 252 855
9352 5694 312
107 1696 356
4790 4415 654
7338 576 785
4038 602 211
1521 1540 218
724 5679 800
2786 3968 800
5301 2871 961
4241 3226 262
3503 7416 310
2173 4582 628
5606 5016 153
7415 4469 721
6028 8808 485
6033 5085 484
556 7144 319
3451 7793 875
453 2421 996
2210 6908 256
800 9196 49
9527 4356 348
8968 6121 449
9409 4130 855
5248 2349 661
7833 4636 846
9681 4893 843
4638 2374 156
700 5823 195
8720 5903 655
2309 3700 45
9557 1130 302
1933 8171 64
578 127 90
5746 7120 337
8829 6002 793
9823 1327 116
6746 8742 354
5721 9631 141
5855 5444 703
9066 3240 542
1232 5515 596
4938 4277 68
3250 8276 143
632 8891 378
1470 486 404
3549 607 382
3747 8340 93
9128 4015 337
4383 1444 931
2783 993 723
4473 48 7
5772 4611 719
1912 1389 536
1607 7426 105
3895 758 718
5323 6707 150
6558 6847 515
6124 8920 625
6370 9341 119
7575 3825 694
3320 7799 954
4439 8090 895
5246 5098 994
5266 6316 369
6492 7525 938
1800 8790 445
8732 5574 4
3662 8131 462
1842 3788 270
6627 3528 65
3766 3859 10
8613 7548 640
9251 4955 428
8850 9662 307
5069 9926 61
1540 543 990
80 5948 588
4387 3103 517
2454 3843 928
2 4997 752
1396 2004 229
7077 5504 198
3721 2412 230
3 5777 89
6699 7465 541
8023 8668 850
564 1205 17
7128 7068 446
4490 5254 85
6858 7650 875
9356 9307 922
3829 1817 915
6796 8434 390
7449 7794 517
4773 8404 934
6080 3986 728
636 433 8
982 4806 818
826 5615 976
109 7551 941
9116 6547 464
5846 5062 826
8317 6314 397
3921 9042 447
9876 8166 568
7601 1199 926
3055 5317 464
9823 2745 431
3150 4233 903
387 8780 631
5470 9478 65
5427 9158 782
8815 2288 811
6726 4912 959
9714 8799 118
7335 5946 684
9816 937 80
8069 1185 593
2130 1986 885
9418 8311 779
7163 4090 6
6066 5590 309
2176 6316 842
3982 7548 648
935 4321 176
6760 6432 567
9100 1523 288
9766 8693 748
8449 8710 186
2725 4402 561
1262 4374 760
6611 4473 69
1548 2775 525
3998 646 965
9991 1942 612
3975 3038 940
7864 612 609
6472 9065 864
940 8930 865
642 1394 721
5133 3429 643
9602 4559 99
2687 7806 598
2740 514 725
597 6510 457
5410 3272 564
1876 1039 910
9387 9797 143
5118 4300 63
7606 376 528
3634 7881 871
652 1870 351
8987 6870 184
8959 7524 825
4571 5893 841
7254 9708 924
2748 1487 523
9886 4329 651
9832 7101 934
7655 2947 985
6978 5327 936
3559 7945 371
7818 5653 337
7634 2049 459
2238 4802 190
1636 7597 870
6037 75 364
5970 3244 756
4631 1276 851
8671 1289 911
7607 6010 368
1854 3921 822
7185 9688 826
4748 7182 515
9492 8857 385
8590 1133 512
1188 3449 744
6521 6678 909
3944 8459 333
4946 2186 831
4719 4424 894
1899 555 711
2699 3326 294
1414 3135 269
8174 7841 295
9759 8261 298
1330 9364 772
3266 4760 543
2631 4440 433
6842 8357 302
6654 756 433
8195 6448 990
8923 7571 454
4064 6818 5
1748 9610 258
9988 2818 588
1197 2739 164
6952 8621 877
7499 9415 473
8014 4824 897
5920 4390 84
2465 400 737
9362 3025 125
9782 9714 917
693 9675 983
6231 2764 316
4063 7743 803
5284 7368 786
5919 4556 111
8388 7402 193
9718 5347 579
6834 1233 347
2292 4675 380
9052 5122 899
672 7666 974
7668 4971 11
9967 3211 380
5139 2096 444
3366 6612 999
3288 775 151
8196 2350 427
9144 5807 728
3020 1924 733
9538 9262 18
3097 5339 222
919 2843 118
1860 6334 372
1382 7745 701
1314 9853 85
2470 3846 894
3064 2543 306
1790 8627 619
189 3908 244
7700 4264 451
6128 4456 679
2195 6883 937
7500 6151 632
8997 6082 341
2080 4727 390
8993 5573 559
4704 8609 256
5941 7004 898
1884 486 407
3834 2746 162
1475 5579 126
7404 3049 40
1638 1923 701
922 7924 394
7576 4887 709
5852 1520 468
8482 7651 794
1579 5879 891
5591 3418 659
1072 792 309
3555 2477 619
4888 894 606
2498 5823 541
3261 2937 254
5601 1808 490
4883 1808 525
2527 3193 273
4590 794 156
799 3764 592
206 3988 787
2781 3003 856
3062 4297 976
4013 8326 759
9862 4498 238
3617 4424 156
5852 7705 183
6483 1448 385
7374 8442 725
8398 2339 279
384 1153 825
9693 6316 377
5361 8033 724
2598 9359 811
4610 5781 197
3616 984 295
4108 6434 180
428 681 110
981 6631 858
4425 65 288
5044 1421 344
1074 8075 553
1628 2584 726
224 572 170
2289 529 404
5168 1202 328
187 5566 113
8071 7371 71
3608 8151 107
5606 2436 395
2593 7239 632
8405 1251 958
4423 921 614
7329 6649 87
5164 635 181
6070 9202 5
6100 5885 181
2422 8117 566
1366 1414 500
8530 2109 712
5113 1198 844
3896 72 581
245 2278 693
5594 4735 48
2386 8492 18
3565 5925 922
7424 5491 496
6502 7030 152
4707 3343 873
9303 5866 986
6571 4314 30
7322 3080 164
69 6891 94
7046 7184 740
6837 3775 39
5705 1339 565
4317 9081 467
7931 3158 694
9396 7989 597
6543 5140 407
3547 4991 533
728 4661 796
9988 7865 720
6397 2859 99
2128 5701 618
3515 3884 506
2656 6658 931
1068 3841 867
4465 1072 966
9732 3466 786
3820 7699 390
2985 1540 7
906 1058 863
5494 4011 309
9331 928 406
6657 5352 574
3879 570 469
4925 5855 761
1224 403 616
6126 2199 366
9311 8169 828
2277 9092 551
7425 5901 373
2836 8101 18
991 4272 838
4884 9925 218
828 4554 244
7802 8658 707
1598 3375 967
4172 1418 313
2939 6667 940
2158 6 223
593 5962 807
8302 5872 92
5407 9864 247
9754 5147 578
2283 336 533
7732 8412 57
1677 1726 719
4558 4232 62
3285 7406 563
7948 6417 718
5559 6366 770
1549 5073 818
4132 1601 992
4653 3854 502
4493 1286 846
710 5993 810
8007 3569 555
6262 2812 170
4044 2335 244
3859 326 348
7962 163 675
186 9226 234
2402 9770 643
5370 1256 414
3037 5621 685
4691 4907 106
8076 206 332
1987 6413 55
5438 4064 876
7589 6156 181
3710 2940 486
5294 9396 591
1893 6499 988
9713 5496 420
6531 2407 766
2480 4438 138
2022 1865 907
4014 987 757
6656 9021 236
4829 486 680
3074 5010 940
4319 4086 135
8628 7499 37
3439 6041 329
2190 2547 349
2871 5490 369
9540 8668 596
3801 9935 310
8868 9367 747
9181 826 322
6154 3972 876
5365 3561 810
5643 7035 622
731 1815 62
9735 737 886
6474 8500 851
2987 686 207
9477 7100 203
8306 5403 257
70 3971 293
7731 5492 587
7250 4715 490
3926 3490 899
2780 1412 738
5637 286 524
6674 5549 875
4416 6956 201
9106 7697 643
3115 436 493
4647 5145 56
907 6032 359
5874 1958 585
2330 5847 717
1169 1052 396
7115 3326 614
2233 6549 579
5914 4628 142
2575 9880 173
1903 9119 676
1749 9256 636
1083 5690 516
4318 5113 468
1364 3148 72
885 4636 13
5063 1395 963
1516 1035 170
660 5728 1
5278 4394 554
2223 604 603
5525 9387 315
3901 6347 611
3280 8191 634
2942 1641 863
6139 2329 721
2107 3547 939
7335 5910 891
1969 6329 954
4951 3644 427
940 2402 614
7638 149 543
2857 4545 969
5601 9753 214
8391 5202 681
4601 2665 69
8159 1954 400
1488 7135 155
9711 9246 240
2119 1311 356
8056 7987 303
4743 5474 98
4154 8953 35
4294 1117 935
8242 1277 924
4170 4100 803
1793 9592 782
9623 8294 588
4002 8674 481
5164 1531 398
871 2006 143
1566 9914 566
929 3620 871
5325 1537 729
5311 1213 641
851 3110 472
7548 4164 465
8368 4826 805
8669 6396 232
8945 8307 391
4592 9392 164
5795 1357 645
8291 9328 260
1490 3502 797
6904 34 504
2675 8918 8
9590 1426 261
4693 3705 800
5686 3461 394
6214 2442 502
890 6314 903
9630 6305 567
6028 2742 761
6291 4955 688
8717 5506 230
3093 9426 212
6882 6922 186
9173 9189 24
5579 9815 599
4648 7512 65
2731 9350 579
7022 6611 934
5179 1429 611
7031 5801 561
27 2334 161
8427 161 33
4512 2438 222
1338 9764 552
8435 9805 979
7740 8830 844
396 1485 508
8513 5371 161
5455 6508 271
2553 9132 439
9739 4203 747
4264 8139 95
1865 4816 776
1083 720 905
5048 911 96
851 9910 974
793 9446 741
6688 9505 388
4791 3454 151
8319 7455 494
5946 9400 124
1247 114 720
9391 4820 545
9238 9054 356
7176 5712 426
6563 9972 95
3935 4851 449
5002 788 766
1114 2558 205
7464 9053 615
6573 9420 554
8490 1224 370
1710 1978 844
8776 6468 380
2923 7874 791
6748 686 554
6017 531 478
3362 8911 925
4445 5714 998
5490 1558 151
2993 3343 160
1537 5449 234
1680 7637 368
73 4225 712
7385 5880 758
3756 4760 407
5496 2824 490
7670 799 598
5918 4272 250
8348 6303 304
3880 1793 302
4109 4707 321
8513 9126 152
1017 9628 247
2054 5161 920
1862 5693 515
4229 9965 106
6119 7913 37
9002 7170 967
4212 9053 939
7446 9220 368
9540 8356 255
3668 8054 572
3108 9569 415
8284 3113 101
4640 9620 698
4273 8455 763
8485 9042 386
2757 9480 218
4722 4032 32
300 4938 822
9088 8006 971
8145 7792 339
5217 2845 852
1052 110 962
4109 7776 517
2287 5285 978
3328 3742 980
1072 754 280
8582 508 230
4689 1799 303
8811 6164 454
5911 3095 46
9599 3155 686
6807 1135 555
9883 4391 781
104 9239 402
4412 6650 911
4736 6797 377
8984 9836 253
6869 2804 396
986 2971 785
6403 7471 706
9161 1973 480
3546 466 498
3690 1680 443
3749 2154 771
9238 5921 329
8499 9601 792
8406 5755 464
7860 5795 442
2846 3011 797
2770 2476 112
3776 5118 984
703 9413 132
6377 4167 535
7219 3516 219
7408 5596 507
5242 5514 565
4302 561 300
5261 2656 129
1734 3633 667
1185 4909 575
909 9914 534
4174 6411 894
8894 397 4
9026 5825 68
1218 1164 225
2114 5160 585
5225 1788 47
7032 4424 753
75 7817 301
8107 5870 531
2592 7465 646
9920 1775 71
6082 8137 882
3549 9218 764
4411 2004 111
988 5464 967
1941 2848 801
5470 7263 718
3753 5193 818
2640 4010 822
315 7852 847
2511 3800 452
7937 1759 361
3183 1976 6
4870 2500 533
6093 4815 96
5720 7891 782
3867 9254 896
3827 1340 849
6875 5900 174
7510 9700 235
30 8780 110
6724 1817 695
9737 6873 828
1466 7501 231
3055 9452 196
5426 4662 799
5765 723 712
2074 2864 765
2030 7067 640
8707 1971 891
1522 4729 625
2891 9563 438
7746 4909 869
3333 4024 49
5400 4942 505
7643 6936 438
1044 5085 67
7180 2332 836
4761 6630 68
9414 6912 955
5938 3884 256
1475 8712 912
4784 5058 393
2721 5749 645
917 6036 428
2359 3623 439
9271 9796 846
8974 4740 266
9867 3470 41
9006 6452 816
4429 1173 980
9147 9987 519
6199 1072 916
3312 6660 72
8589 5613 164
6989 9215 100
7187 9995 786
7977 5155 211
4269 9706 465
3012 373 973
8290 9762 632
5017 1999 260
8001 6170 742
6566 1595 823
4661 9404 487
1604 2613 552
4377 358 691
3365 7619 581
8537 6173 727
6717 6070 865
7528 2662 966
1194 9453 830
3262 7771 132
5521 3453 850
5446 5752 982
2125 835 230
7805 7774 670
2275 6543 251
168 2954 4
9887 1654 134
6446 4746 151
6194 7580 442
4249 9898 503
286 2182 215
4711 688 30
765 9745 429
9327 6613 624
4568 8755 598
9089 6568 540
1324 5536 675
8101 1841 875
695 1426 153
145 8683 20
5838 5781 651
1969 9386 925
4181 8066 630
1913 1675 226
3916 1732 869
7023 9883 976
3744 2204 748
4532 8257 304
3374 9051 434
2463 9234 221
3676 3793 872
8358 1320 811
853 7574 99
6964 9958 655
3119 6172 947
9138 3470 452
169 3763 902
675 6333 782
6414 5638 558
6499 4846 348
7598 2148 850
5384 1923 735
6180 7364 899
5210 682 636
6315 6272 934
6112 6569 51
4385 3906 466
2743 9336 152
9604 6363 609
9482 7342 863
3162 280 959
3188 3411 305
499 8789 252
7378 856 367
872 1173 633
580 9380 159
2890 2004 897
3735 3480 895
8213 4600 96
5143 5129 395
1801 7779 631
197 8333 989
2684 2707 177
9632 938 121
709 6475 688
9205 2431 968
584 1114 335
2250 7693 284
2419 5623 231
7097 762 330
8199 1517 870
6657 1964 456
1419 7850 939
2644 6847 306
5422 2800 697
5144 7256 329
1727 3470 679
3521 6815 713
3684 9052 869
2849 9158 851
5391 6677 10
9355 4921 624
2673 8739 314
8764 9259 875
8450 6353 182
7910 9496 64
4667 156 515
6043 3745 78
2308 1277 916
7334 3006 157
159 4272 316
5943 2181 830
1708 7057 919
2721 5144 850
9826 2945 522
1629 6705 492
7143 1694 114
5282 6294 264
9896 4720 94
9561 3986 737
766 746 397
5015 8355 829
3923 8132 381
8826 502 969
5346 7800 596
1809 4206 156
2842 3544 797
603 4539 924
1949 1791 829
1576 3526 801
186 2363 516
6266 9301 92
6881 1594 782
3942 6622 598
9487 5362 821
468 2546 960
3680 7583 333
5988 7073 618
1933 4769 115
8819 1404 720
3447 8099 39
6899 6544 577
3609 7055 653
1833 7843 90
8043 7441 289
7499 5270 202
2095 8888 68
8833 7213 35
7946 7940 712
6551 8614 908
5728 7722 510
1097 4531 518
8419 4834 308
5876 5194 868
334 7643 364
7741 5437 11
446 1094 208
946 6040 54
8680 2165 753
7637 1623 442
1335 7873 413
5422 2782 770
9191 8812 908
4906 9975 104
9166 2595 628
5802 5872 546
9347 5009 821
2430 3193 188
2098 9284 619
4960 5723 378
97 4160 156
967 6044 956
4104 708 127
6134 1150 54
1602 8624 96
6636 8201 869
6241 9930 129
3991 2226 548
6581 9092 727
1458 1081 311
8492 6851 98
778 7294 176
4755 639 87
1243 381 327
2497 4019 639
407 4551 959
7427 142 503
766 7446 974
8290 7483 623
1830 5469 646
2699 150 936
7021 2060 472
3821 8556 752
5201 4384 632
8249 6927 700
4286 863 747
5736 9237 481
4842 3742 373
4980 6040 30
2867 9750 324
7739 5972 249
6061 5792 385
6018 4223 242
3167 3349 206
6816 2820 397
2144 809 300
566 8184 512
8074 2649 923
1302 7959 344
1939 2366 501
2609 3207 551
6454 8789 937
1177 2350 205
2839 3179 28
7791 3864 665
4334 7733 186
5009 280 23
722 4024 0
4493 1498 109
4054 7802 873
8112 6369 134
7435 4251 856
3524 6496 923
2569 4823 950
9176 4554 738
4865 2137 719
4948 512 246
4415 9905 658
6968 9884 652
5392 2857 401
4537 3545 98
2447 9320 430
9019 7451 657
3140 9110 691
7332 7541 753
5314 2691 409
4777 9926 403
7175 6812 329
9448 4237 846
7670 8087 324
4506 538 536
8362 839 538
3016 3065 229
8136 7711 372
7240 5251 831
6480 9972 139
3782 9562 338
8657 8029 900
551 5561 332
9802 5892 416
8231 1557 871
2908 6679 162
2619 7813 598
7078 8072 509
2081 4449 959
4939 7206 379
4099 615 439
1203 2206 348
4709 8037 410
7414 5442 381
1758 8354 698
8955 8766 732
288 7108 736
6140 3583 477
8502 5596 939
3086 9222 319
495 7140 956
7665 3368 287
5140 2362 382
5592 8921 739
9865 3255 863
2669 9767 358
7074 7711 259
817 6919 372
8020 4223 359
2758 4488 451
2854 2987 514
7776 3095 862
6974 547 336
1051 7170 168
2504 3204 897
8421 1336 488
139 653 316
9157 2516 977
8277 7899 953
2147 3701 251
5132 7115 554
4598 6340 5
6061 9845 907
5096 2588 252
5027 6113 580
3502 651 540
8039 1008 539
3096 3585 995
2830 2543 714
4355 2197 850
4122 5432 979
9357 9246 703
499 8639 853
9900 6618 834
1062 4973 219
1609 3678 923
8871 7453 444
5895 1727 951
5578 8569 299
2374 8035 431
7813 189 868
2314 7143 576
1350 8858 483
9330 448 533
6895 2160 823
3668 5840 980
2227 9716 703
2687 8915 556
3735 6124 702
7150 4447 7
1500 4620 605
4823 2089 893
2346 7440 297
9414 19 317
3064 3034 889
6143 379 28
1055 2367 177
3402 969 531
7556 8782 626
3117 681 738
6918 2545 24
7979 5385 252
6457 1374 65
9288 3714 682
2475 4382 611
2432 9080 821
582 9006 181
9439 7766 389
7701 8404 443
7961 9056 843
8014 1436 829
9327 1791 795
4460 4773 840
5513 3798 324
2906 8664 380
